"Feature","Gain"
"Middle.cerebellar.peduncle",0.260076985518435
"Anterior.limb.of.internal.capsule.R",0.155472847809864
"Cingulum.(hippocampus).R",0.111141361650715
"Uncinate.fasciculus.R",0.066944627113577
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0633613049112282
"Medial.lemniscus.R",0.060782606119045
"Cerebral.peduncle.L",0.0364805762466882
"Genu.of.corpus.callosum",0.0364077086877336
"Medial.lemniscus.L",0.0213623719023628
"Uncinate.fasciculus.L",0.0196721481097986
"Corticospinal.tract.R",0.0181413060581727
"Pontine.crossing.tract.(a.part.of.MCP)",0.0144566634245669
"Posterior.corona.radiata.L",0.0138192441588242
"Retrolenticular.part.of.internal.capsule.L",0.0129645594611262
"Inferior.fronto-occipital.fasciculus.L",0.0128181402244358
"External.capsule.R",0.00995806641498416
"Inferior.cerebellar.peduncle.R",0.00736878335290257
"Posterior.corona.radiata.R",0.00643306823433349
"Fornix.(column.and.body.of.fornix)",0.00401280002228982
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0037010514114381
"Corticospinal.tract.L",0.00198951332167102
"Posterior.thalamic.radiation.(include.optic.radiation).L",0.00141600774442887
"Retrolenticular.part.of.internal.capsule.R",0.000917591979066806
"Tapetum.L",0.000812142059660686
