"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.213010049580163
"Middle.cerebellar.peduncle",0.137113932745423
"Medial.lemniscus.R",0.12749986905769
"Body.of.corpus.callosum",0.0586052047550367
"Pontine.crossing.tract.(a.part.of.MCP)",0.0531811730069901
"Inferior.fronto-occipital.fasciculus.L",0.0529415070479198
"Genu.of.corpus.callosum",0.0450538150757071
"Retrolenticular.part.of.internal.capsule.L",0.0339626908461785
"Cerebral.peduncle.L",0.0309690711589741
"Anterior.limb.of.internal.capsule.L",0.0235717872288759
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0209017098303068
"Posterior.corona.radiata.R",0.0192523728201632
"Uncinate.fasciculus.L",0.0166653590965176
"Inferior.cerebellar.peduncle.R",0.0134464893190604
"Posterior.corona.radiata.L",0.00977506524627386
"Fornix.(column.and.body.of.fornix)",0.00643965872687524
"Corticospinal.tract.L",0.00470541252357411
"Corticospinal.tract.R",0.00453150033794244
"Medial.lemniscus.L",0.00414767683689864
"Inferior.cerebellar.peduncle.L",0.00333240970730857
"Cingulum.(cingulate.gyrus).L",0.00324111247994112
"Posterior.limb.of.internal.capsule.L",0.00308425322282909
"Cerebral.peduncle.R",0.00102252594502712
"Retrolenticular.part.of.internal.capsule.R",0.000208100868498745
