"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.210816385174601
"Cingulum.(hippocampus).R",0.142322366634761
"Middle.cerebellar.peduncle",0.0744503654977808
"Medial.lemniscus.R",0.0741043658413027
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.063786723820185
"Uncinate.fasciculus.R",0.0568376037519477
"Cerebral.peduncle.L",0.0480138270237685
"Genu.of.corpus.callosum",0.0426063363740776
"Medial.lemniscus.L",0.032063864468935
"Corticospinal.tract.R",0.0293788614393465
"Posterior.corona.radiata.R",0.0286865789471564
"Pontine.crossing.tract.(a.part.of.MCP)",0.0208291649893596
"Inferior.fronto-occipital.fasciculus.L",0.0185779314876011
"Posterior.corona.radiata.L",0.0154634865966541
"Anterior.corona.radiata.L",0.0143843176944096
"External.capsule.R",0.00954166822015615
"Retrolenticular.part.of.internal.capsule.L",0.00898318623914759
"Uncinate.fasciculus.L",0.00857093187779756
"Fornix.(column.and.body.of.fornix)",0.00694546934383253
"Corticospinal.tract.L",0.00553633505185111
"Posterior.limb.of.internal.capsule.L",0.0047431677776421
"Inferior.cerebellar.peduncle.L",0.00239155375108987
"Cingulum.(cingulate.gyrus).R",0.00210218681696142
"Retrolenticular.part.of.internal.capsule.R",0.00205901656230254
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00188208670855493
"Tapetum.L",0.001755566354069
"Anterior.limb.of.internal.capsule.L",0.0016480601314424
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.000866536760795377
"Superior.cerebellar.peduncle.R",0.000828486168028386
"Posterior.thalamic.radiation.(include.optic.radiation).L",0.000674270213688778
